Columna1,Fecha venta,ID_producto,ID_Zona,Venta,ID_Vendedor,ID_Cliente
1,"2015-12-29",1,1,2133903,42,3
2,"2015-12-29",2,2,1945424,5,1
3,"2015-12-29",3,2,712416,20,10
4,"2015-12-30",1,2,1815450,30,9
5,"2015-12-30",4,3,1138024,41,8
6,"2015-12-31",5,2,953156,18,3
7,"2015-12-31",1,3,406686,36,9
8,"2015-12-31",3,2,2158475,21,6
9,"2016-01-01",6,1,1024380,13,10
10,"2016-01-01",1,1,2042768,43,7
11,"2016-01-01",3,2,627068,5,8
12,"2016-01-01",5,2,999328,30,2
13,"2016-01-01",1,4,2937300,28,5
14,"2016-01-01",2,3,664700,15,6
15,"2016-01-01",5,2,820336,5,1
16,"2016-01-02",4,2,937960,17,4
17,"2016-01-02",7,3,358846,16,3
18,"2016-01-03",4,4,1679605,6,3
19,"2016-01-04",6,2,472615,39,3
20,"2016-01-05",3,4,1169496,19,3
21,"2016-01-06",5,4,2020992,38,10
22,"2016-01-06",3,1,727552,14,10
23,"2016-01-07",4,2,1438929,4,8
24,"2016-01-07",3,3,427390,45,2
25,"2016-01-07",3,4,1170684,4,8
26,"2016-01-07",2,3,549780,12,4
27,"2016-01-08",2,3,659330,38,4
28,"2016-01-09",4,4,1660560,41,8
29,"2016-01-09",4,3,753571,43,1
30,"2016-01-09",2,3,939072,31,5
31,"2016-01-10",5,4,1405374,46,6
32,"2016-01-10",7,2,627348,1,5
33,"2016-01-12",2,4,1504110,29,1
34,"2016-01-12",4,4,2483197,29,3
35,"2016-01-12",5,3,1799771,13,9
36,"2016-01-13",5,3,1054340,6,2
37,"2016-01-13",2,2,1160572,43,6
38,"2016-01-14",4,3,1492800,30,1
39,"2016-01-15",1,3,1154980,7,5
40,"2016-01-15",3,2,1057784,9,2
41,"2016-01-15",6,4,1421860,36,3
42,"2016-01-16",3,3,1426992,44,4
43,"2016-01-16",3,2,579716,31,5
44,"2016-01-16",4,2,1537062,32,8
45,"2016-01-17",3,4,2851058,22,5
46,"2016-01-17",3,1,1294048,22,1
