ID_pago,ID_venta,Fecha_pago,Pago
1,1,42368,266737.88
2,2,42389,243178
3,3,42385,89052
4,4,42373,226931.25
5,5,42374,142253
6,6,42379,119144.5
7,7,42396,50835.75
8,8,42399,269809.38
9,9,42375,128047.5
10,10,42386,255346
11,11,42397,78383.5
12,12,42392,124916
13,13,42383,367162.5
14,14,42397,83087.5
15,15,42386,102542
16,16,42392,117245
17,17,42384,44855.75
18,18,42385,209950.63
19,19,42402,59076.88
20,20,42381,146187
21,21,42376,252624
22,22,42394,90944
23,23,42380,179866.13
24,24,42389,53423.75
25,25,42394,146335.5
26,26,42391,68722.5
27,27,42402,82416.25
28,28,42389,207570
29,29,42405,94196.38
30,30,42382,117384
31,31,42382,175671.75
32,32,42400,78418.5
33,33,42407,188013.75
34,34,42410,310399.63
35,35,42397,224971.38
36,36,42388,131792.5
37,37,42387,145071.5
38,38,42398,186600
39,39,42404,144372.5
40,40,42393,132223
41,41,42409,177732.5
42,42,42387,178374
43,43,42410,72464.5
44,44,42396,192132.75
45,45,42401,356382.25
46,46,42388,161756
47,47,42401,31177.25
48,48,42412,182186
49,49,42408,40210
50,50,42411,119703.13
51,51,42411,71077.5
52,52,42417,200695.5
53,53,42413,179843.5
54,54,42407,85874.5
55,55,42416,122904.25
56,56,42406,29902.5
57,57,42400,64091.25
58,58,42405,285953.25
59,59,42419,171727
60,60,42401,240030
61,61,42412,142605
62,62,42420,142867.25
63,63,42398,92268
64,64,42417,63626.25
65,65,42399,179604
66,66,42418,264928
67,67,42410,118615.88
68,68,42423,47124
69,69,42407,276551
70,70,42409,205961.88
71,71,42400,242490.63
72,72,42417,184869
73,73,42411,40005.5
74,74,42420,137256.88
75,75,42418,23482.75
76,76,42414,219638.25
77,77,42425,138124
78,78,42401,56060.63
79,79,42398,315060.5
80,80,42408,167388.38
81,81,42406,226530.5
82,82,42426,133716.38
83,83,42406,58884
84,84,42428,58867.5
85,85,42428,115665.25
86,86,42427,267712.5
87,87,42419,97359.38
88,88,42411,52649.5
89,89,42406,27464.5
90,90,42429,335727
91,91,42413,90451.13
92,92,42418,48504
93,93,42412,115252.5
94,94,42409,120669.75
95,95,42417,82977
96,96,42428,91116.38
97,97,42419,78192
98,98,42411,183472.75
99,99,42433,258404.5
100,100,42435,66421.88
101,101,42408,88836.75
102,102,42423,54804.38
103,103,42434,148511.25
104,104,42432,87425
105,105,42418,231812
106,106,42428,263212.5
107,107,42416,223914.75
108,108,42414,222787.13
109,109,42426,191025
110,110,42435,198455.25
111,111,42414,119333.25
112,112,42421,133100
113,113,42434,110905.13
114,114,42441,100849.88
115,115,42437,54843.75
116,116,42428,121707.38
117,117,42418,215501
118,118,42413,255909.5
119,119,42423,38498.63
120,120,42414,121734.75
121,121,42427,86108
122,122,42430,173238.75
123,123,42417,182669.5
124,124,42433,115778.5
125,125,42429,133399
126,126,42418,171641.5
127,127,42438,135889.88
128,128,42421,153773.75
129,129,42444,170490.75
130,130,42432,173637
131,131,42426,59668.13
132,132,42444,158578.75
133,133,42449,48995.5
134,134,42437,220653.13
135,135,42424,28681.88
136,136,42430,78054.38
137,137,42431,85769.25
138,138,42424,84810
139,139,42426,66740.63
140,140,42438,134504.25
141,141,42431,56934.63
142,142,42446,141019.5
143,143,42445,163815
144,144,42441,97858.75
145,145,42455,39443.75
146,146,42437,253621.25
147,147,42441,91798.5
148,148,42433,97405.13
149,149,42448,186563.25
150,150,42432,225064.5
151,151,42447,157488
152,152,42451,132956
153,153,42429,54332
154,154,42455,63615.5
155,155,42434,175449.38
156,156,42431,195179
157,157,42445,236491.5
158,158,42438,91462.5
159,159,42454,70397.25
160,160,42445,109403.5
161,161,42457,163185
162,162,42459,170209.38
163,163,42457,145136.25
164,164,42453,174460.13
165,165,42451,125138
166,166,42462,284437.5
167,167,42444,171344.88
168,168,42435,230254.38
169,169,42444,260009.75
170,170,42463,74660.75
171,171,42447,169830
172,172,42439,69781.5
173,173,42440,300059.5
174,174,42448,141427
175,175,42439,52117
176,176,42461,207354.38
177,177,42452,178876.5
178,178,42459,64162.5
179,179,42450,106041
180,180,42467,234366
181,181,42463,45948
182,182,42468,165381.75
183,183,42443,180815.25
184,184,42461,180999
185,185,42460,263741.25
186,186,42450,97483.5
187,187,42455,114878.75
188,188,42458,67158
189,189,42459,157700
190,190,42453,56026.25
191,191,42456,53915.63
192,192,42449,69202
193,193,42458,56706.38
194,194,42461,123361.88
195,195,42465,31356.5
196,196,42471,167089.63
197,197,42462,64967.25
198,198,42463,90110.25
199,199,42458,105292.88
200,200,42467,263542.88
201,201,42466,131373.13
202,202,42473,37284
203,203,42449,112849.75
204,204,42453,86522.5
205,205,42463,250299
206,206,42450,281687.5
207,207,42465,167265.5
208,208,42459,171210
209,209,42453,205493.5
210,210,42460,162199.25
211,211,42471,266780.75
212,212,42463,61519.5
213,213,42478,241564.75
214,214,42481,173126.38
215,215,42454,152394.75
216,216,42462,186861.5
217,217,42479,174825
218,218,42474,57679.38
219,219,42460,43907
220,220,42469,130285.38
221,221,42486,59325
222,222,42465,52582.5
223,223,42458,61240.5
224,224,42480,129000
225,225,42487,133665
226,226,42468,141641.5
227,227,42459,208870.63
228,228,42480,251327.38
229,229,42460,92400.75
230,230,42485,172770.75
231,231,42464,83243.88
232,232,42488,184943.5
233,233,42483,170293.5
234,234,42469,215337.5
235,235,42487,106044.75
236,236,42490,263035.75
237,237,42469,218606.25
238,238,42478,124440
239,239,42469,292254
240,240,42478,162339.5
241,241,42476,254832.5
242,242,42492,82066.88
243,243,42475,233818.25
244,244,42469,178884.5
245,245,42491,147074.63
246,246,42487,242012.75
247,247,42476,197815.88
248,248,42488,109140
249,249,42490,253300.13
250,250,42489,93384.38
251,251,42495,141329
252,252,42491,202755
253,253,42478,70900.75
254,254,42469,47461.13
255,255,42484,53067
256,256,42480,202538
257,257,42498,152587.13
258,258,42498,137456
259,259,42484,147901.5
260,260,42490,218751.75
261,261,42479,138388.5
262,262,42476,181203.63
263,263,42473,125873.5
264,264,42492,221364
265,265,42486,115906.88
266,266,42474,140724
267,267,42473,161389.5
268,268,42485,121031.25
269,269,42498,55861
270,270,42495,167863.25
271,271,42479,136660.13
272,272,42489,301151.25
273,273,42485,90360
274,274,42501,137860
275,275,42493,134931.13
276,276,42498,129937.5
277,277,42504,254823.25
278,278,42502,106718.75
279,279,42497,176869.5
280,280,42503,110225.5
281,281,42501,135159.75
282,282,42496,316813.13
283,283,42485,167037.25
284,284,42490,300612.25
285,285,42482,89089
286,286,42489,65471.25
287,287,42484,170100
288,288,42492,115536.75
289,289,42498,111919.88
290,290,42480,179727.25
291,291,42483,234709.38
292,292,42504,32305.5
293,293,42490,53802.25
294,294,42505,73745
295,295,42482,98336.88
296,296,42502,221722.5
297,297,42506,337392
298,298,42510,75074.5
299,299,42493,38396.25
300,300,42503,85403.75
301,301,42508,182272
302,302,42488,146486.75
303,303,42512,216027.63
304,304,42486,326570.75
305,305,42507,143797.5
306,306,42499,131989
307,307,42494,205702
308,308,42505,190152
309,309,42496,220439.63
310,310,42493,99099
311,311,42506,75678.13
312,312,42494,197410.5
313,313,42490,48923.88
314,314,42509,173362.5
315,315,42506,304996.38
316,316,42501,321388.88
317,317,42496,219374
318,318,42518,55096.5
319,319,42507,120171
320,320,42505,307019.88
321,321,42496,122217.5
322,322,42509,31988.25
323,323,42518,199020.75
324,324,42506,109507.5
325,325,42518,41550
326,326,42505,153403
327,327,42506,127755
328,328,42517,171171
329,329,42497,240290.63
330,330,42519,148656.25
331,331,42505,123794.38
332,332,42518,109710
333,333,42499,100375
334,334,42524,263870.75
335,335,42522,79365
336,336,42509,174307.63
337,337,42518,51701.25
338,338,42521,45207.63
339,339,42514,85396.88
340,340,42502,97972.88
341,341,42505,248837.13
342,342,42527,249028.5
343,343,42506,147262.5
344,344,42508,135433.25
345,345,42523,157936.88
346,346,42501,165084.5
347,347,42527,106481.5
348,348,42514,195111.13
349,349,42510,174856.5
350,350,42521,85103.75
351,351,42506,52340.63
352,352,42512,257568.75
353,353,42518,247523.13
354,354,42529,110684.5
355,355,42527,147710.75
356,356,42523,103853.75
357,357,42531,213493
358,358,42504,147506
359,359,42523,147078.75
360,360,42514,112027.5
361,361,42515,188240.63
362,362,42525,91561.88
363,363,42513,47328
364,364,42506,157129.5
365,365,42509,84169.38
366,366,42530,120149
367,367,42518,62652.5
368,368,42512,44290
369,369,42514,154792.38
370,370,42512,172246.88
371,371,42516,138747.5
372,372,42523,164691.13
373,373,42524,102851.38
374,374,42515,111910.88
375,375,42529,174828.75
376,376,42518,151256.63
377,377,42516,65651.25
378,378,42528,210000
379,379,42512,101601
380,380,42537,323338
381,381,42534,96985.5
382,382,42543,322773
383,383,42524,166395.75
384,384,42528,227925
385,385,42524,218300.63
386,386,42532,103845
387,387,42535,60809
388,388,42527,104394
389,389,42528,110348
390,390,42542,48668.75
391,391,42520,185437.5
392,392,42546,195056.25
393,393,42523,145546.88
394,394,42538,118349
395,395,42539,144912
396,396,42525,200318
397,397,42529,116665.13
398,398,42535,53478
399,399,42542,60482.5
400,400,42541,153140
401,401,42537,335362.5
402,402,42542,273517.25
403,403,42545,96255
404,404,42532,87822
405,405,42532,225624
406,406,42525,235462.5
407,407,42527,172935
408,408,42530,91223.5
409,409,42537,218761.13
410,410,42523,54406.5
411,411,42539,92846.25
412,412,42544,158619
413,413,42539,190937.25
414,414,42539,53179
415,415,42525,48323
416,416,42550,160975.88
417,417,42536,172688.25
418,418,42537,306623.63
419,419,42546,119037.75
420,420,42546,127395
421,421,42537,151216.88
422,422,42537,79663.5
423,423,42532,136272.5
424,424,42533,243219.38
425,425,42548,139719.13
426,426,42535,130332.38
427,427,42548,72920.25
428,428,42538,42295.5
429,429,42548,273811.63
430,430,42559,173521.88
431,431,42554,139555.13
432,432,42538,247537.5
433,433,42534,106560
434,434,42549,237328.5
435,435,42542,192691
436,436,42555,97899.38
437,437,42559,113727.63
438,438,42555,192918
439,439,42537,315544.75
440,440,42552,134708.13
441,441,42556,98825.25
442,442,42536,109007.88
443,443,42554,125133.75
444,444,42543,125664
445,445,42545,23644.5
446,446,42553,52397.25
447,447,42538,222432.25
448,448,42538,144933.75
449,449,42543,98618.5
450,450,42539,209343
451,451,42551,50874.75
452,452,42553,262246.25
453,453,42555,202112.5
454,454,42549,57321
455,455,42556,304939
456,456,42568,224640
457,457,42551,63960
458,458,42559,73485
459,459,42545,73803.25
460,460,42550,40290.25
461,461,42561,51592.5
462,462,42547,115591.5
463,463,42543,245297.5
464,464,42547,104604.5
465,465,42558,328601.5
466,466,42555,30338
467,467,42562,65094.75
468,468,42570,108763.13
469,469,42545,68347.5
470,470,42560,109443
471,471,42544,100168.75
472,472,42569,227502
473,473,42545,109095
474,474,42569,202830.75
475,475,42554,71060
476,476,42552,106436
477,477,42563,106930.25
478,478,42553,114156
479,479,42573,128528
480,480,42549,66352
481,481,42561,145847.5
482,482,42562,247890.38
483,483,42566,118338.75
484,484,42578,188304.75
485,485,42561,136701
486,486,42564,274934.5
487,487,42560,309382.88
488,488,42571,163355
489,489,42565,31740
490,490,42566,238914
491,491,42566,44833.75
492,492,42570,162291
493,493,42572,243572.88
494,494,42558,216220.25
495,495,42560,322337
496,496,42558,145758.13
497,497,42561,164509.13
498,498,42572,125592.5
499,499,42582,66429
500,500,42566,279750
501,501,42554,120625.75
502,502,42561,260988
503,503,42562,80919
504,504,42562,152031.75
505,505,42559,107521.5
506,506,42557,150899.38
507,507,42580,129068.25
508,508,42563,287192.25
509,509,42582,53530
510,510,42583,146982.5
511,511,42573,32320
512,512,42583,222867.5
513,513,42557,230202.75
514,514,42566,92653.5
515,515,42574,32847.13
516,516,42566,90112.75
517,517,42558,164190.75
518,518,42559,79758
519,519,42580,85346.63
520,520,42586,34917.75
521,521,42581,92544.38
522,522,42579,161675
523,523,42558,178672.5
524,524,42559,192072
525,525,42566,156170
526,526,42564,199300.5
527,527,42565,116972.63
528,528,42585,284130
529,529,42590,176825.25
530,530,42577,55857
531,531,42590,89096
532,532,42562,124965.75
533,533,42578,75753
534,534,42574,51289.5
535,535,42579,216335
536,536,42575,161515.38
537,537,42583,128890.13
538,538,42575,270141.75
539,539,42576,95224.13
540,540,42573,70698.38
541,541,42585,31449.5
542,542,42582,189371
543,543,42581,70523.25
544,544,42575,86791.38
545,545,42594,52418.5
546,546,42596,78511.88
547,547,42593,125000
548,548,42578,291255.25
549,549,42580,175498.5
550,550,42570,213915.63
551,551,42581,276875.25
552,552,42576,100578.13
553,553,42579,196094.25
554,554,42588,108376.13
555,555,42600,161218.5
556,556,42599,70936.5
557,557,42586,239555.25
558,558,42597,234376.5
559,559,42602,198763
560,560,42578,176521.88
561,561,42575,35092.63
562,562,42600,120065.75
563,563,42598,159027
564,564,42596,64246
565,565,42591,114733.5
566,566,42595,235243.75
567,567,42603,58738.75
568,568,42594,79999.88
569,569,42575,87549.75
570,570,42586,82476
571,571,42593,40254.5
572,572,42600,237144.38
573,573,42589,129853.13
574,574,42606,31428.75
575,575,42589,234675
576,576,42593,54418.5
577,577,42581,111207.25
578,578,42591,196496.63
579,579,42581,101472.5
580,580,42606,204360.5
581,581,42582,217752.5
582,582,42587,323060
583,583,42587,220968
584,584,42588,134700.13
585,585,42585,131275.38
586,586,42592,76740.13
587,587,42603,160793
588,588,42609,58646
589,589,42603,171585.75
590,590,42607,78446.25
591,591,42605,54464
592,592,42583,124953.75
593,593,42584,154371.75
594,594,42599,143554.5
595,595,42611,167974.75
596,596,42610,44795
597,597,42609,40470
598,598,42593,91932
599,599,42590,92321
600,600,42615,159455.75
601,601,42595,114954
602,602,42607,152345.38
603,603,42591,176022.75
604,604,42597,88040.38
605,605,42619,227158
606,606,42600,45095.63
607,607,42613,52252.38
608,608,42603,139702.5
609,609,42617,223860
610,610,42601,132318.13
611,611,42608,332367
612,612,42615,109905.5
613,613,42619,234900
614,614,42597,135713.13
615,615,42593,249040
616,616,42615,154741.13
617,617,42593,160497.5
618,618,42598,48945
619,619,42613,88245.38
620,620,42611,50786.25
621,621,42623,271391
622,622,42621,139543.5
623,623,42601,72207
624,624,42602,140294
625,625,42596,271478.25
626,626,42600,257641.38
627,627,42614,61844.75
628,628,42617,170103.5
629,629,42623,178377.38
630,630,42622,195882.5
631,631,42599,246602
632,632,42616,227054.63
633,633,42612,148880.5
634,634,42617,322054
635,635,42605,122706.38
636,636,42627,145184.63
637,637,42615,117253.75
638,638,42616,114463
639,639,42599,330772.63
640,640,42623,155382.5
641,641,42601,288279.75
642,642,42620,88922.75
643,643,42616,292261.88
644,644,42612,145263
645,645,42628,239712
646,646,42600,149100
647,647,42626,43282
648,648,42612,144146.63
649,649,42630,48294.25
650,650,42612,97170
651,651,42609,126994.5
652,652,42625,135068.5
653,653,42612,91268.63
654,654,42622,244234.13
655,655,42622,348377
656,656,42630,221634
657,657,42624,198729
658,658,42627,180358.75
659,659,42627,62550
660,660,42614,125444
661,661,42603,216318.75
662,662,42615,245395.75
663,663,42618,57980.38
664,664,42629,257229
665,665,42617,190078.38
666,666,42629,182247.5
667,667,42627,81490
668,668,42628,189125.63
669,669,42636,218478.75
670,670,42617,273574.63
671,671,42625,159741.25
672,672,42633,153240.75
673,673,42624,59914.75
674,674,42626,174021
675,675,42614,41214.5
676,676,42628,38945.38
677,677,42617,28397.25
678,678,42636,154912.5
679,679,42628,134371.13
680,680,42618,128733
681,681,42631,145763
682,682,42636,197211.5
683,683,42633,131179.13
684,684,42639,285655.5
685,685,42619,82789.5
686,686,42630,41346.38
687,687,42624,151860
688,688,42625,86104.75
689,689,42626,77768
690,690,42621,90436.5
691,691,42639,103382.75
692,692,42617,127860.38
693,693,42642,215300.88
694,694,42626,49104
695,695,42620,190573.13
696,696,42632,172416
697,697,42639,196252
698,698,42633,98642.5
699,699,42639,67871.75
700,700,42645,156414.38
701,701,42640,252900
702,702,42643,319153.13
703,703,42622,167640
704,704,42622,317545.5
705,705,42632,145730.25
706,706,42642,187695
707,707,42633,214140
708,708,42643,140501.5
709,709,42630,147708.75
710,710,42621,161454.5
711,711,42636,264254.38
712,712,42642,285083.5
713,713,42627,86057.88
714,714,42645,266901.25
715,715,42636,41210.13
716,716,42646,224231
717,717,42640,57187.25
718,718,42626,92011.5
719,719,42628,195729.88
720,720,42624,277076
721,721,42651,33324.5
722,722,42651,76443.25
723,723,42623,64813.5
724,724,42640,260671.63
725,725,42652,112747.5
726,726,42650,135170
727,727,42651,146055
728,728,42651,73218.25
729,729,42647,238148.38
730,730,42637,228833
731,731,42637,69405.75
732,732,42628,81592.88
733,733,42651,153155.5
734,734,42635,80558.75
735,735,42642,73502.88
736,736,42630,105070
737,737,42651,97622.5
738,738,42643,150197.25
739,739,42640,190968.75
740,740,42661,291052.25
741,741,42647,148034.25
742,742,42657,166279.5
743,743,42654,67858
744,744,42646,67258.13
745,745,42652,55661.88
746,746,42644,95132
747,747,42643,169433.75
748,748,42657,268185
749,749,42654,84944.25
750,750,42660,166992
751,751,42647,69514.5
752,752,42637,188734
753,753,42660,49956.88
754,754,42657,150819.63
755,755,42654,275331.88
756,756,42640,38606.25
757,757,42660,38340.75
758,758,42662,191896
759,759,42657,102960
760,760,42647,211916.25
761,761,42648,51462.5
762,762,42660,46464
763,763,42651,301476
764,764,42664,140280
765,765,42651,294310.13
766,766,42650,130560
767,767,42640,63768.75
768,768,42662,151651.5
769,769,42666,145266.38
770,770,42674,167980
771,771,42651,27945.5
772,772,42650,170493.5
773,773,42652,60593
774,774,42666,291519
775,775,42663,200812.5
776,776,42652,51395
777,777,42673,76474.5
778,778,42656,194341.5
779,779,42651,234720
780,780,42654,200910
781,781,42662,152173.75
782,782,42664,37499.5
783,783,42653,181961.63
784,784,42661,97338.25
785,785,42667,210643.5
786,786,42667,114156
787,787,42661,258109.88
788,788,42669,106731.5
789,789,42674,222731.13
790,790,42654,80932.5
791,791,42675,108649.5
792,792,42653,195640
793,793,42649,63415
794,794,42660,190368.25
795,795,42651,42309.5
796,796,42671,118786.25
797,797,42658,180285
798,798,42667,184842.75
799,799,42663,276227.75
800,800,42667,81656.25
801,801,42665,165399.75
802,802,42657,138253.5
803,803,42669,139426.13
804,804,42677,72504
805,805,42670,183647.25
806,806,42683,51944
807,807,42675,236467
808,808,42663,78778
809,809,42672,161560.5
810,810,42665,41788.13
811,811,42673,225689.75
812,812,42672,276031.5
813,813,42670,91683.75
814,814,42677,203400
815,815,42659,211302
816,816,42684,272513
817,817,42678,109829.75
818,818,42686,30576
819,819,42672,70329
820,820,42664,211021.25
821,821,42674,174000.75
822,822,42673,203541.63
823,823,42669,124099.13
824,824,42687,60570
825,825,42689,108360
826,826,42687,213695.88
827,827,42673,173976.13
828,828,42675,159846.75
829,829,42680,152361
830,830,42678,176193.88
831,831,42694,110112.5
832,832,42681,71775
833,833,42670,246079
834,834,42677,74012.88
835,835,42695,159600
836,836,42695,265574.5
837,837,42671,127666.75
838,838,42672,72888.75
839,839,42679,128647.25
840,840,42674,130059.75
841,841,42685,132645
842,842,42685,117774.5
843,843,42685,214090.63
844,844,42680,74127.63
845,845,42692,185710
846,846,42693,276873
847,847,42685,91491.13
848,848,42695,195766.13
849,849,42681,125415
850,850,42683,173886.38
851,851,42678,129014.75
852,852,42702,221002.5
853,853,42676,213589.5
854,854,42684,303784
855,855,42700,206275
856,856,42692,124457.13
857,857,42681,297381
858,858,42684,227719.75
859,859,42694,49692.5
860,860,42682,280332
861,861,42702,111432
862,862,42676,78945
863,863,42680,291079.5
864,864,42695,69201
865,865,42690,65395
